Name,Fueltype,Technology,Set,Country,Capacity,Efficiency,Duration,Volume_Mm3,DamHeight_m,StorageCapacity_MWh,DateIn,DateRetrofit,DateMothball,DateOut,lat,lon,EIC,projectID,bus
Snettisham 2,hydro,Reservoir,PP,US,23.6,,,,,,1973,,, ,58.1415,-133.737,,2,
Snettisham 3,hydro,Reservoir,PP,US,31,,,,,,1990,,, ,58.1415,-133.737,,3,
Aurora Energy LLC Chena 1,coal,coal,PP,US,5,,,,,,1952,,, ,64.847743,-147.735063,,1,
Aurora Energy LLC Chena 2,coal,coal,PP,US,2.5,,,,,,1952,,, ,64.847743,-147.735063,,2,
Aurora Energy LLC Chena 3,coal,coal,PP,US,20,,,,,,1975,,, ,64.847743,-147.735063,,5,
Ketchikan 1,hydro,Reservoir,PP,US,1.4,,,,,,1952,,, ,55.344641,-131.633425,,3,
Ketchikan 2,hydro,Reservoir,PP,US,1.4,,,,,,1938,,, ,55.344641,-131.633425,,4,
Ketchikan 3,hydro,Reservoir,PP,US,1.4,,,,,,1954,,, ,55.344641,-131.633425,,5,
S W Bailey 1,oil,oil,PP,US,4.5,,,,,,1969,,, ,55.357397,-131.69696,,1,
S W Bailey 2,oil,oil,PP,US,4.5,,,,,,1970,,, ,55.357397,-131.69696,,2,
S W Bailey 3,oil,oil,PP,US,6.4,,,,,,1976,,, ,55.357397,-131.69696,,3,
S W Bailey 4,oil,oil,PP,US,10.5,,,,,,1998,,, ,55.357397,-131.69696,,4,
Ashokan 1,hydro,Reservoir,PP,US,2.3,,,,,,1982,,, ,41.949,-74.2063,,1,
Ashokan 2,hydro,Reservoir,PP,US,2.3,,,,,,1982,,, ,41.949,-74.2063,,2,
Snake River 1,oil,oil,PP,US,3.8,,,,,,1991,,, ,64.505331,-165.429814,,12,
Snake River 2,oil,oil,PP,US,2,,,,,,1999,,, ,64.505331,-165.429814,,14,
Snake River 3,oil,oil,PP,US,5.2,,,,,,2007,,, ,64.505331,-165.429814,,15,
Snake River 4,oil,oil,PP,US,5.2,,,,,,2007,,, ,64.505331,-165.429814,,16,
Snake River 5,oil,oil,PP,US,0.4,,,,,,2013,,, ,64.505331,-165.429814,,18,
Snake River 6,onwind,onwind,PP,US,0.9,,,,,,2013,,, ,64.505331,-165.429814,,EWT 1,
Snake River 7,onwind,onwind,PP,US,0.9,,,,,,2013,,, ,64.505331,-165.429814,,EWT 2,
Petersburg 1,hydro,Reservoir,PP,US,1.6,,,,,,1954,,,2023,56.81104,-132.957091,,3,
Petersburg 2,oil,oil,PP,US,2.6,,,,,,1972,,, ,56.81104,-132.957091,,IC1,
Petersburg 3,oil,oil,PP,US,1.2,,,,,,1965,,, ,56.81104,-132.957091,,IC3,
Petersburg 4,oil,oil,PP,US,0.6,,,,,,1979,,, ,56.81104,-132.957091,,IC4,
Petersburg 5,oil,oil,PP,US,0.8,,,,,,1979,,, ,56.81104,-132.957091,,IC5,
Petersburg 6,oil,oil,PP,US,2.6,,,,,,1993,,, ,56.81104,-132.957091,,IC6,
Petersburg 7,oil,oil,PP,US,2.6,,,,,,2001,,, ,56.81104,-132.957091,,IC7,
Petersburg 8,oil,oil,PP,US,2.5,,,,,,2012,,, ,56.81104,-132.957091,,IC8,
Seward (AK) 1,oil,oil,PP,US,2.5,,,,,,1975,,, ,60.130922,-149.43501,,3,
Seward (AK) 2,oil,oil,PP,US,2.5,,,,,,1986,,, ,60.130922,-149.43501,,4,
Seward (AK) 3,oil,oil,PP,US,2.5,,,,,,1985,,, ,60.130922,-149.43501,,5,
Seward (AK) 4,oil,oil,PP,US,2.8,,,,,,2000,,, ,60.130922,-149.43501,,6,
Seward (AK) 5,oil,oil,PP,US,2.8,,,,,,2010,,, ,60.130922,-149.43501,,N1,
